,date,lat_bin,lon_bin,Element,Element_value,Element_dis
137464,2015-02-16,5436,800,,,
137465,2015-02-16,5436,799,,,
137466,2015-02-16,5437,799,,,
137467,2015-02-16,5437,800,zinc,43500.0,85.88272052786299
137468,2015-02-16,5437,747,zinc,43500.0,87.36340240480853
137469,2015-02-16,5437,796,zinc,43500.0,85.86072486771769
137470,2015-02-16,5437,797,,,
137471,2015-02-16,5438,747,zinc,43500.0,86.77304590687652
137472,2015-02-16,5438,796,,,
137473,2015-02-16,5438,797,,,
137474,2015-02-16,5438,795,zinc,43500.0,85.25826173758811
137475,2015-02-16,5439,796,,,
137476,2015-02-16,5439,797,,,
137477,2015-02-16,5439,800,zinc,43500.0,84.68224829063462
137478,2015-02-16,5439,793,,,
137479,2015-02-16,5439,792,,,
137480,2015-02-16,5440,796,,,
137481,2015-02-16,5440,747,zinc,43500.0,85.59275222271168
137482,2015-02-16,5440,797,,,
137483,2015-02-16,5440,795,,,
137484,2015-02-16,5441,792,zinc,43500.0,83.45917954641648
137485,2015-02-16,5441,748,zinc,43500.0,84.93828178879568
137486,2015-02-16,5441,796,,,
137487,2015-02-16,5442,791,zinc,43500.0,82.86235126020337
137488,2015-02-16,5442,748,zinc,43500.0,84.34806276807366
137489,2015-02-16,5443,791,zinc,43500.0,82.26199099398498
137490,2015-02-16,5443,748,zinc,43500.0,83.75798851848006
137491,2015-02-16,5444,748,zinc,43500.0,83.16806212145146
137492,2015-02-16,5444,791,,,
137493,2015-02-16,5445,791,zinc,43500.0,81.0612724677452
137494,2015-02-16,5445,792,zinc,43500.0,81.05763874885172
137495,2015-02-16,5446,749,zinc,43500.0,81.92327192734129
137496,2015-02-16,5446,791,zinc,43500.0,80.46091423766288
137497,2015-02-16,5446,792,zinc,43500.0,80.45725430376488
137498,2015-02-16,5448,751,zinc,43500.0,80.61517010852643
137499,2015-02-16,5449,793,zinc,43500.0,78.65385821629708
137500,2015-02-16,5450,751,zinc,43500.0,79.43427216561535
137501,2015-02-16,5450,793,zinc,43500.0,78.05345836681272
137502,2015-02-16,5451,544,zinc,43500.0,115.54609837914404
137503,2015-02-16,5451,793,zinc,43500.0,77.45305860367219
137504,2015-02-16,5451,751,,,
137505,2015-02-16,5452,547,zinc,43500.0,114.37271316909784
137506,2015-02-16,5452,751,,,
137507,2015-02-16,5452,798,zinc,43500.0,76.86413616794859
137508,2015-02-16,5452,796,zinc,43500.0,76.8549545138728
137509,2015-02-16,5452,793,zinc,43500.0,76.85265892889787
137510,2015-02-16,5452,794,zinc,43500.0,76.85189371866346
137511,2015-02-16,5452,799,,,
137512,2015-02-16,5452,800,zinc,43500.0,76.8794364871084
137513,2015-02-16,5453,799,zinc,43500.0,76.2707620995761
137514,2015-02-16,5453,792,,,
137515,2015-02-16,5453,797,,,
137516,2015-02-16,5453,796,,,
137517,2015-02-16,5453,550,zinc,43500.0,113.20007329008729
137518,2015-02-16,5454,791,zinc,43500.0,75.6580753539853
137519,2015-02-16,5454,551,zinc,43500.0,112.53484025631053
137520,2015-02-16,5454,795,zinc,43500.0,75.65185985286763
137521,2015-02-16,5455,791,zinc,43500.0,75.05772413267043
137522,2015-02-16,5455,790,zinc,43500.0,75.06320442087113
137523,2015-02-16,5456,791,zinc,43500.0,74.45737378525965
137524,2015-02-16,5458,790,zinc,43500.0,73.26228666035735
137525,2015-02-16,5458,795,zinc,43500.0,73.25026285764608
137526,2015-02-16,5461,784,zinc,43500.0,71.53032409868673
137527,2015-02-16,5462,783,zinc,43500.0,70.94795900190381
137528,2015-02-16,5465,566,zinc,43500.0,104.21843682434006
137529,2015-02-16,5467,567,zinc,43500.0,103.15415155479602
137530,2015-02-16,5468,567,zinc,43500.0,102.75298425580957
137531,2015-02-16,5470,568,zinc,43500.0,101.69610276160728
137532,2015-02-16,5471,568,zinc,43500.0,101.29990031536569
137533,2015-02-16,5473,569,zinc,43500.0,100.25076578862935
137534,2015-02-16,5738,776,zinc,62333.333333333336,68.76106065042524
137535,2015-02-16,5738,771,zinc,62333.333333333336,68.93752764229853
137536,2015-02-16,5738,773,zinc,62333.333333333336,68.86229038737473
137537,2015-02-16,5738,778,zinc,62333.333333333336,68.70135157913595
137538,2015-02-16,5738,780,zinc,62333.333333333336,68.64788363777431
137539,2015-02-16,5739,769,zinc,62333.333333333336,69.61425453546126
137540,2015-02-16,5739,767,zinc,62333.333333333336,69.70105284492543
137541,2015-02-16,5740,765,zinc,62333.333333333336,70.3877622080368
137542,2015-02-16,5740,762,zinc,62333.333333333336,70.5371174970272
137543,2015-02-16,5746,741,zinc,62333.333333333336,75.44178217919047
137544,2015-02-16,5746,744,zinc,62333.333333333336,75.2121744230759
137545,2015-02-16,5746,729,zinc,62333.333333333336,76.48022139784084
137546,2015-02-16,5746,748,zinc,62333.333333333336,74.92507378289636
137547,2015-02-16,5746,750,zinc,62333.333333333336,74.78975561624563
137548,2015-02-16,5746,754,zinc,62333.333333333336,74.5357331011537
137549,2015-02-16,5746,747,zinc,62333.333333333336,74.99479667468331
137550,2015-02-16,5746,749,zinc,62333.333333333336,74.85672550670716
137551,2015-02-16,5746,756,zinc,62333.333333333336,74.41708548572717
137552,2015-02-16,5746,746,zinc,62333.333333333336,75.0658903502586
137553,2015-02-16,5746,724,zinc,62333.333333333336,76.96829030303601
137554,2015-02-16,5746,734,zinc,62333.333333333336,76.02446099762223
137555,2015-02-16,5746,739,zinc,62333.333333333336,75.60159366064849
137556,2015-02-16,5746,743,zinc,62333.333333333336,75.28735685723012
137557,2015-02-16,5746,726,zinc,62333.333333333336,76.76922426063756
